date,matcha,matcha latte,isPartial
2021-04-11,21,2,False
2021-04-18,20,2,False
2021-04-25,21,2,False
2021-05-02,21,2,False
2021-05-09,19,2,False
2021-05-16,19,2,False
2021-05-23,19,2,False
2021-05-30,19,2,False
2021-06-06,20,2,False
2021-06-13,19,2,False
2021-06-20,19,2,False
2021-06-27,18,2,False
2021-07-04,19,2,False
2021-07-11,19,2,False
2021-07-18,19,2,False
2021-07-25,18,2,False
2021-08-01,18,2,False
2021-08-08,19,2,False
2021-08-15,18,2,False
2021-08-22,18,2,False
2021-08-29,17,2,False
2021-09-05,18,2,False
2021-09-12,18,2,False
2021-09-19,17,2,False
2021-09-26,18,2,False
2021-10-03,17,2,False
2021-10-10,17,2,False
2021-10-17,19,3,False
2021-10-24,16,2,False
2021-10-31,16,2,False
2021-11-07,18,2,False
2021-11-14,18,2,False
2021-11-21,16,2,False
2021-11-28,17,2,False
2021-12-05,17,2,False
2021-12-12,16,2,False
2021-12-19,17,2,False
2021-12-26,18,2,False
2022-01-02,21,2,False
2022-01-09,19,2,False
2022-01-16,19,2,False
2022-01-23,20,2,False
2022-01-30,21,2,False
2022-02-06,22,3,False
2022-02-13,22,2,False
2022-02-20,21,2,False
2022-02-27,20,2,False
2022-03-06,22,2,False
2022-03-13,21,2,False
2022-03-20,21,2,False
2022-03-27,21,2,False
2022-04-03,21,3,False
2022-04-10,22,3,False
2022-04-17,21,2,False
2022-04-24,21,2,False
2022-05-01,21,2,False
2022-05-08,20,2,False
2022-05-15,21,2,False
2022-05-22,22,2,False
2022-05-29,21,2,False
2022-06-05,22,2,False
2022-06-12,21,2,False
2022-06-19,22,2,False
2022-06-26,21,2,False
2022-07-03,22,2,False
2022-07-10,22,3,False
2022-07-17,23,2,False
2022-07-24,23,3,False
2022-07-31,22,3,False
2022-08-07,24,3,False
2022-08-14,27,3,False
2022-08-21,24,3,False
2022-08-28,22,2,False
2022-09-04,22,2,False
2022-09-11,21,3,False
2022-09-18,22,2,False
2022-09-25,22,2,False
2022-10-02,21,2,False
2022-10-09,21,2,False
2022-10-16,21,2,False
2022-10-23,22,2,False
2022-10-30,20,2,False
2022-11-06,21,2,False
2022-11-13,21,2,False
2022-11-20,20,2,False
2022-11-27,19,2,False
2022-12-04,20,2,False
2022-12-11,20,2,False
2022-12-18,20,2,False
2022-12-25,21,2,False
2023-01-01,24,2,False
2023-01-08,23,2,False
2023-01-15,27,3,False
2023-01-22,25,3,False
2023-01-29,26,3,False
2023-02-05,24,3,False
2023-02-12,26,3,False
2023-02-19,28,3,False
2023-02-26,29,3,False
2023-03-05,29,3,False
2023-03-12,29,3,False
2023-03-19,29,3,False
2023-03-26,28,3,False
2023-04-02,30,3,False
2023-04-09,28,3,False
2023-04-16,27,3,False
2023-04-23,28,3,False
2023-04-30,27,3,False
2023-05-07,26,3,False
2023-05-14,26,3,False
2023-05-21,28,3,False
2023-05-28,26,3,False
2023-06-04,28,3,False
2023-06-11,29,3,False
2023-06-18,28,3,False
2023-06-25,29,3,False
2023-07-02,28,3,False
2023-07-09,29,3,False
2023-07-16,28,3,False
2023-07-23,28,3,False
2023-07-30,29,3,False
2023-08-06,29,3,False
2023-08-13,30,3,False
2023-08-20,29,3,False
2023-08-27,29,3,False
2023-09-03,27,3,False
2023-09-10,27,3,False
2023-09-17,27,3,False
2023-09-24,27,3,False
2023-10-01,27,3,False
2023-10-08,25,3,False
2023-10-15,25,3,False
2023-10-22,24,3,False
2023-10-29,24,3,False
2023-11-05,25,3,False
2023-11-12,24,3,False
2023-11-19,27,2,False
2023-11-26,24,2,False
2023-12-03,25,2,False
2023-12-10,25,2,False
2023-12-17,24,2,False
2023-12-24,26,3,False
2023-12-31,26,3,False
2024-01-07,27,3,False
2024-01-14,28,3,False
2024-01-21,29,3,False
2024-01-28,31,3,False
2024-02-04,30,3,False
2024-02-11,28,3,False
2024-02-18,31,3,False
2024-02-25,30,3,False
2024-03-03,31,3,False
2024-03-10,35,4,False
2024-03-17,35,4,False
2024-03-24,34,4,False
